排名,代码,名称,5日均线角度,最新价
1,sh688268,华特气体,86.38,208.27
2,sh688048,长光华芯,85.58,364.59
3,sh688702,盛科通信,84.16,286.0
4,sz301396,宏景科技,83.26,335.99
5,sz301345,涛涛车业,82.73,271.5
6,sh688502,茂莱光学,82.69,461.37
7,sz300857,协创数据,82.41,261.0
8,sz301629,矽电股份,81.66,311.51
9,sh688020,方邦股份,81.16,141.92
10,sh688807,优迅股份,80.69,375.98
11,sz002371,北方华创,79.88,517.21
12,sh688041,海光信息,79.59,289.0
13,sz002384,东山精密,79.5,183.9
14,sz002916,深南电路,79.07,314.93
15,sh688677,海泰新光,78.99,122.66
16,sz301486,致尚科技,78.63,202.86
17,sh688628,优利德,78.42,101.07
18,sh688012,中微公司,78.39,362.27
19,sh688661,和林微纳,77.96,119.77
20,sz300489,光智科技,77.81,95.55
21,sh688279,峰岹科技,77.46,202.15
22,sz300308,中际旭创,77.42,825.0
23,sh688536,思瑞浦,77.11,232.0
24,sz001389,广合科技,76.9,165.11
25,sh688668,鼎通科技,76.72,223.38
26,sh688498,源杰科技,75.44,1442.67
27,sz002975,博杰股份,75.14,114.47
28,sh688227,品高股份,74.82,128.63
29,sz301086,鸿富瀚,74.34,187.95
30,sh605389,长龄液压,73.8,99.25
31,sh603444,吉比特,73.37,416.99
32,sz301630,同宇新材,73.01,256.83
33,sz002281,光迅科技,72.68,137.0
34,sh688200,华峰测控,72.45,324.02
35,sz301667,纳百川,72.39,111.7
36,sh688025,杰普特,72.38,314.57
37,sh688313,仕佳光子,72.36,134.14
38,sz300604,长川科技,72.29,179.31
39,sh688795,摩尔线程,72.28,708.48
40,sh688008,澜起科技,72.26,173.61
41,sh688052,纳芯微,72.06,185.5
42,sz002008,大族激光,71.55,105.22
43,sh603268,松发股份,71.42,142.68
44,sz301248,杰创智能,71.28,86.35
45,sz301373,凌玮科技,71.02,113.75
46,sh688630,芯碁微装,71.02,264.0
47,sz003018,金富科技,70.99,55.21
48,sh688809,强一股份,70.91,416.3
49,sh688141,杰华特,70.57,80.6
50,sh688519,南亚新材,69.3,172.75
